beer_id,beer_name,beer_type,abv,avg_rating,avg_ibu,desc,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
251,Amber,Altbier,5.3,3.65,37.5,"Notes:Richly malty and long on the palate, with just enough hop backing to make this beautiful amber colored ""alt"" style beer notably well balanced.	",13,32,9,47,74,33,0,33,57,8,111
252,Double Bag,Altbier,7.2,3.9,37.5,"Notes:This malty, full-bodied double alt is also known as “Stickebier” – German slang for “secret brew”. Long Trail Double Bag was originally offered only in our brewery taproom as a special treat to our visitors. With an alcohol content of 7.2%, please indulge in moderation. The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate’s “Beer of the Year” in 2001. Malt Advocate is a national magazine devoted to “expanding the boundaries of fine drinks”. Their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: “Imported” and “Domestic”. It is a great honor to receive this recognition.33 IBU	",12,57,18,33,55,16,0,24,35,12,84
253,Long Trail Ale,Altbier,5.0,3.58,37.5,"Notes:Long Trail Ale is a full-bodied amber ale modeled after the “Alt-biers” of Düsseldorf, Germany. Our top fermenting yeast and cold finishing temperature result in a complex, yet clean, full flavor. Originally introduced in November of 1989, Long Trail Ale beer quickly became, and remains, the largest selling craft-brew in Vermont. It is a multiple medal winner at the Great American Beer Festival.25 IBU	",14,37,6,42,43,11,0,10,54,4,62
254,Doppelsticke,Altbier,8.5,4.15,37.5,Notes:,13,55,31,47,101,18,1,49,40,16,119
255,Scurry,Altbier,5.3,3.67,37.5,"Notes:Just cause it's dark and German doesn't mean it's an alt. Based on the obscure Kottbusser style of beer, this surprisingly dry beer retains all the aroma and nuance of honey (from bees) and molasses (not from bees) creating a perception of sweetness through cool, controlled fermentation. Because we're sweet enough damn it. 18 IBU	",21,69,10,63,120,14,0,19,36,15,218
256,Sleigh'r Dark Doüble Alt Ale,Altbier,7.2,3.78,37.5,"Notes:Called 'Dark Double Alt' on the label.Seize the season with Sleigh'r. Layers of deeply toasted malt are balanced by just enough hop bitterness to make it deceivingly drinkable. Paired with a dry finish, Sleigh’r is anything but your typical winter brew.An Alt ferments with Ale yeast at colder lagering temperatures. This effect gives Alts a more refined, crisp lager-like flavor than traditional ales. The Alt has been “Ninkasified” raising the ABV and IBUs. Sleigh'r has a deep, toasted malt flavor that finishes dry and balanced.50 IBU	",25,51,26,44,45,9,1,11,51,20,95
257,Sticke,Altbier,6.0,4.1,37.5,Notes:,22,45,13,46,62,25,1,34,60,4,103
258,Okto Festival Ale,Altbier,5.3,3.46,37.5,Notes:Classified as a German Altbier by the Widmer Brothers; brewed with an (ale) Alt yeast strain.availability: early Aug. - late Oct.bitterness : 28 IBUoriginal gravity: 13.5° PLATO	,28,40,3,40,58,29,0,36,54,8,97
259,Southampton Altbier,Altbier,5.0,3.6,37.5,Notes:,18,49,5,37,73,22,0,21,37,4,98
260,Copper,Altbier,4.8,4.1,37.5,"Notes:OMB’s flagship, Copper, is an authentic Düsseldorf style “Altbier” or Amber Ale. There are no crazy flavors or gimmicks with Copper – its full-flavored start transitions to a smooth, balanced, easy-drinking finish. It’s the beer that tastes like beer.	",25,35,4,38,39,13,1,8,60,16,97
261,Organic Münster Alt,Altbier,5.1,3.7,37.5,Notes:,35,31,5,35,50,55,5,52,66,8,77
262,Altbier,Altbier,4.7,4.0,37.5,"Notes:Uerige Alt is the most bittered beer in Germany. In spite of this (or just for that reason), this legendary Altbier from Düsseldorf is so full-bodied, aromatic and wholesome.Our top-fermented specialty has been brewed since 1862 from barley malt, caramel malt, roasted malt, hops, water - and with our very special Uerige yeast.Our Uerige Alt is regularly chosen among the ten best beers in Germany. It has an alcohol content of 4.7% and a minimum fresh date of eight weeks.Unser Uerige Alt wird regelmäßig unter die zehn besten Biere Deutschlands gewählt. Es hat einen Alkoholgehalt von 4,7% und ein Mindestfrischedatum von acht Wochen.	",34,48,9,55,59,25,1,32,68,12,121
263,Gerst Amber,Altbier,5.1,3.54,37.5,"Notes:Check out a piece of Nashville brewing history! Gerst Brewery was the original Nashville brewery, but never recovered after prohibition. We are excited to partner with the Chandler Family, owners of the Gerst Haus Restaurant, to bring this beer back right where it belongs – Nashville, Tennessee.This is a very “clean” beer, with mostly German malts and a hint of flaked maize, remaining as true as possible to the original Gerst recipe.11 IBUs	",10,19,1,21,30,11,4,8,24,2,65
264,Ad Astra Ale,Altbier,5.6,3.69,37.5,"Notes:This ale is the first brewed in Kansas since pioneering days. The name ""Ad Astra comes from the Kansas State Motto - Ad Astra per Aspera, Latin words meaning ""To the Stars through Difficulties"". We've blended Pale, Caramel, and Munich malts for a rich amber beer. The hops balance this malty sweetness, and we've chosen Northern brewer and Fuggles hops for their flavor.24 IBU	",7,30,5,43,43,13,1,13,50,6,93
265,Doppel Sticky,Altbier,7.7,4.07,37.5,"Notes:This fruity, estery double altbier is brewed in the traditional-ish style of the Doppelsticke, which is the widely known secret Germanic-esque strong ale. Like it's California Common counterpart, we fermented this ale at a lower temperature to pull out the sulphur-y bite from the yeast, then dry-hopped it with some dank, Sticky hops, including some brand-spankin'-new Enigma hops from the great Down Under! 66 IBUs	",24,44,27,79,73,88,2,114,92,9,51
266,Copperhead Ale,Altbier,5.2,3.37,37.5,Notes:The name isn’t a coincidence. This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. Copperhead Ale is famous for its signature balanced flavor & impeccable smoothness.	,9,32,9,29,54,13,1,11,32,2,112
267,Ten Years Alt,Altbier,8.5,3.96,37.5,"Notes:A Doppelsticke Altbier brewed for Victory Brewing's 10th Anniversary, released in Feb 2006 and debuting at BeerAdvocate's 3rd Annual Extreme Beer Fest in 2006. A dark ale with malty depth, but with the fragrance and bold, brassy tang of European hops. 8.5%. According to Victory, they believe that this could be the first Doppelsticke brewed in the US.	",14,55,31,48,105,31,0,37,59,19,115
268,Three Blind Mice,Altbier,5.5,3.57,37.5,"Notes:Three Blind Mice is inspired by our favorite qualities from English brown ales, German altbiers, and Irish reds. Mother’s trio of beer connoisseurs sipped away many a night, working to find this ideal combination. Mother’s beautiful brown beer is medium-bodied with caramel, toffee, and subtle chocolate malt flavors—all balanced by moderate hop notes and a clean, dry finish.Three Blind Mice combines components of several malty beers for the unique brown beer experience you've been missing. After lots of research to find the perfect styles for our base, the clear winners were the lighter body and caramel characters of Irish red ales, the soft chocolate and toffee flavors from English brown ales, and the hop component and balance of German altbiers. We used traditional elements from each beer style and added our own touch for one incredible brown beer.24 IBU	",11,58,6,47,49,5,1,3,50,5,110
269,Ishmael,Altbier,4.9,3.71,37.5,"Notes:Ishmael is our richly-flavored American copper ale. This American interpretation of the altbiers of Düsseldorf is brewed with continental Munich malt, American-grown hops, and a clean-fermenting ale yeast to produce a slightly sweet and malty beer balanced by a firm bitterness.	",17,41,1,55,43,18,1,20,80,7,103
270,Headwall Alt,Altbier,4.5,3.69,37.5,"Notes:This is traditional style of altbeir from Düsseldorf, Germany. Alt literally means old in German. Staying as true to the recipe as possible, the Headwall Alt is brewed using German malts, plus German and American hops. Like the Pale Ale, the Headwall Alt is cold conditioned, dry-hopped and krausened in the bottle or keg. Similar to the Pale Ale, the process takes about 30 days.	",19,42,13,54,62,19,0,25,64,10,135
271,Alt-eration Ale,Altbier,5.0,3.81,37.5,Notes:,21,43,3,54,54,7,0,10,60,9,111
272,Schell's Schmaltz's Alt,Altbier,5.1,3.75,37.5,"Notes:One of Warren's favorite pastimes back in the 30's was a trip to the city dump to shoot rats–so much that it was a common date for him and his wife-to-be, Casey. The manager of the city dump was John Schmaltz–hence the nickname ""Schmaltz"" Marti. We hope you enjoy our Schmaltz's Alt, a creamy smooth dark alt brewed even better than before.	",21,72,9,48,102,25,1,50,43,13,176
273,Balt Altbier,Altbier,5.5,3.8,37.5,"Notes:A Brewing TraditionThis German-style Altbier is our nod to an old world, old school ale. The word “Alt” is German for “old”, and refers to the traditional style of brewing before lager yeast was discovered. Balt is a dark, copper colored brew with a creamy head, a gentle bitterness and a clean, dry finish. Prost Hon!BITTERNESS (IBU): 45COLOR: Copper/AmberMALT: Pilsner, Munich,Cara Munich, CarafaHOPS: Perle,TettnangYEAST: German Alt	",27,65,10,45,75,22,1,29,68,12,132
274,Frankenheim Alt,Altbier,4.8,3.76,37.5,Notes:,19,43,5,39,43,13,1,6,45,8,97
275,Iron Works Alt,Altbier,5.5,3.84,37.5,"Notes:An assertively hoppy top-fermented beer, polished by the wisdom and patience of lagering. Think of it as an octogenarian with a punk rock attitude. Slightly dry, this beer pairs well with hearty cuisine. We also suggest sipping it on its own; the complexity will keep you entertained and happy.45 IBU	",37,50,16,60,84,32,0,46,83,19,121
276,Diebels Premium Altbier,Altbier,4.9,3.72,37.5,Notes:,21,27,5,37,33,13,0,13,45,10,70
277,Mission Amber,Altbier,5.0,3.47,37.5,Notes:,24,36,9,59,55,20,2,18,80,7,132
278,Hövels Original,Altbier,5.5,3.71,37.5,Notes:,22,38,10,47,54,10,1,14,68,2,117
279,Secret Spot Alt Ale,Altbier,6.3,3.58,37.5,Notes:,14,53,16,69,67,29,0,23,87,18,103
280,Hoppeditz,Altbier,7.5,3.91,37.5,Notes:,18,55,23,72,92,21,0,52,75,47,129
281,Lighthouse Amber,Altbier,5.25,3.64,37.5,"Notes:Our German style Alt has a brilliant amber hue, and silky smooth medium body. Its light tan head is thick, retaining, and laces the glass all the way down. A Noble hop aroma up front finishes with a caramel malt nose. Our old world brewing method brings out a light toasted-bread flavor you’ll want to savor again and again. It’s a mouthwatering, thirst quenching delight.	",11,67,5,35,86,21,0,28,54,4,138
282,Copper ALT.,Altbier,5.2,3.73,37.5,"Notes:Zipline Brewing Co.’s Copper Alt. is an altbier, which is a unique German hybrid between an ale and a lager. This bronzed brew is designed to be extremely drinkable, with subtle nuances of chocolate and hazelnut. A late gift of Sterling hops in this brew leaves a little hoppiness for your palate to ponder before the next sip.Hops: Magnum, Hallertau & SterlingMalts: Pilsner, Carahell, Special B, Caramel, & Carafa5.2% ABV26 IBUGold medal for German-Style Altbier at the GABF 2015.	",24,47,9,43,71,21,0,26,69,9,134
283,Série Signature Sticke Alt,Altbier,6.0,3.87,37.5,"Notes:Malts: Pilsner, Pale, Caramel 60, Caramel 160/ 74 IBU / Hops: Magnum, N Brewer, HallertauOG: 15.3ºP FG:4.3ºP / SRM: 19 / 12 month aging	",17,57,14,96,106,23,0,42,122,11,130
284,Simple Means,Altbier,5.6,3.82,37.5,Notes:,36,55,14,34,88,75,4,43,45,97,97
285,Crooked Coast Altbier,Altbier,5.1,3.88,37.5,"Notes:Inspired by the original Alt-style beer of Dusseldorf, Crooked Coast brings together the aromas of German noble hops and Munich malt to produce a very refreshing and mellow ale that is the perfect companion on any shape of coast.	",20,36,7,76,47,39,2,40,100,8,76
286,Gravel Road,Altbier,7.25,3.54,37.5,Notes:,5,48,6,54,66,11,0,16,52,9,109
287,Little Red Cap,Altbier,5.2,3.63,37.5,"Notes:Altbier is German for “Old Beer”, this refers to the “old” style of brewing using an ale yeast (As opposed to a lager yeast fermentation which is a relatively new process). This beer originated in the Westphalia region of Germany in a town named Dusseldorf. Due to the cool climate of Dusseldorf, Altbiers employee an ale yeast that has evolved over time to ferment at somewhat cooler temperature than that of other ale yeasts. This cool fermentation produces subtle yeast derived esters and leaves a clean malty beer. In addition to this cool clean fermentation, altbiers are then lagered at cold temperatures to help smooth and refine the beer. The result of this is a very clean and hoppy red ale.Coming in at 6.2% ABV and IBUs Little Red Cap is an easy drinking hop forward beer worthy of its heritage. We use a bit of Cascade hop to give it an “American Twist” while maintaining its German heritage. This beer won a Gold Medal at the 2011 and 2016 GABF and a Bronze at the 2012 GABF. It also won a Silver Award at the 2016 World beer cup. ",27,39,18,47,52,28,4,24,59,6,100
288,Festivale,Altbier,4.7,3.69,37.5,"Notes:Festivale is an amber ale, with balanced high-intensity maltiness and hop presence. Caramunich malts give Festivale its colour and a rich caramel sweetness. Festivale bucks the trend of pale summer beers, offering up amber hues and tastiness for a unique result that is both quaffable and refreshing.40 IBU	",29,30,9,72,77,20,0,20,104,10,141
289,Duckstein Rotblondes Original,Altbier,4.9,3.51,37.5,Notes:,17,31,5,50,28,10,0,11,51,15,80
290,Moby D,Altbier,5.0,3.58,37.5,Notes:,26,37,14,65,57,33,0,33,107,3,98
291,Scruffy's Smoked Alt,Altbier,5.1,3.68,37.5,"Notes:Our goal is to have a very drinkable beer with a nice smoked quality that will pair well with food and be something a little different. We blend a good amount of German Rauch malt, that is smoked with beachwood, with a US two-row malt, Crystal 40, Crystal 120 and a bit of Pale Chocolate Malt. We use enough US Magnum & Willamette hops to balance the malty sweetness of the German Alt yeast used to ferment the beer. That leaves moderately smokey notes that comes through mostly in the flavor that is balanced with the slight fruity flavor that the Alt yeast will give you. A very session-able smoked ale with enough bitterness to balance the other flavors.	",18,45,11,29,39,28,3,21,31,130,91
292,Über Alt,Altbier,8.5,3.96,37.5,"Notes:Our Alt is a much stronger version of the traditional Dusseldorf Altbiers. An ancient style from the Rhineland, Altbiers are ales that were virtually wiped out by German lagers in the 1800’s. We use plenty of European hops and German pilsner malts to brew a remarkably clean beer. We then rest it in the cooler for two months to achieve the mellow finish that is the Überalt’s trademark.	",32,64,28,47,135,49,2,65,55,15,182
293,Füchschen Alt,Altbier,4.5,4.14,37.5,Notes:,33,54,13,52,57,10,0,14,68,15,100
294,Sticke It To The Man,Altbier,7.5,3.41,37.5,Notes:,18,55,50,51,87,22,0,39,47,6,96
295,Creemore Springs Collaboration Altbier,Altbier,5.0,3.64,37.5,"Notes:With a goal of celebrating Creemore’s 25th anniversary in a big way, Creemore Brewmaster Gordon Fuller and head brewer Bryan Egan travelled to Düsseldorf in early 2012, to immerse themselves in German brewing culture. Learning trade secrets from the brewers at Zum Schlüssel allowed them to create a unique and special variety of their own Altbier at home in Canada. Follow their journey on our blog.28 IBU	",26,61,6,50,69,27,0,22,73,8,144
296,Evan Altmighty,Altbier,6.6,3.66,37.5,"Notes:34 IBUPilsner, CaraPils and Vienna MaltsHallertau Mittelfruh HopsAle YeastDeep Well Water	",21,39,7,40,62,34,0,47,65,5,80
297,ALTerior Motive,Altbier,6.3,4.05,37.5,"Notes:Our altbier is crafted after the authentic, or sticke, style that originated in Germany. It is extremely malty, aggressively hoppy and cold conditioned for a clean, smooth finish.	",27,61,11,56,61,46,0,40,77,14,110
